CCTV-1(HD),igmp://239.49.8.129:6000
CCTV-2(HD),igmp://239.49.8.130:6000
CCTV-4(HD),igmp://239.49.8.131:6000
CCTV-5(HD),igmp://239.49.8.170:6000
CCTV-5+(HD),igmp://239.49.8.137:6000
CCTV-7(HD),igmp://239.49.8.132:6000
CCTV-9(HD),igmp://239.49.8.133:6000
CCTV-10(HD),igmp://239.49.8.134:6000
CCTV-12(HD),igmp://239.49.8.135:6000
CCTV-14(HD),igmp://239.49.8.136:6000
凤凰卫视,igmp://239.49.1.144:6000
凤凰资讯,igmp://239.49.1.155:6000
看看新闻(HD),igmp://239.49.8.167:6000
江苏卫视(HD),igmp://239.49.8.138:6000
浙江卫视(HD),igmp://239.49.8.139:6000
东方卫视(HD),igmp://239.49.8.140:6000
北京卫视(HD),igmp://239.49.8.141:6000
湖南卫视(HD),igmp://239.49.8.142:6000
广东卫视(HD),igmp://239.49.8.143:6000
黑龙江卫视(HD),igmp://239.49.8.144:6000
深圳卫视(HD),igmp://239.49.8.145:6000
山东卫视(HD),igmp://239.49.8.146:6000
湖北卫视(HD),igmp://239.49.8.147:6000
天津卫视(HD),igmp://239.49.8.148:6000
重庆卫视(HD),igmp://239.49.8.149:6000
辽宁卫视(HD),igmp://239.49.8.173:6000
贵州卫视(HD),igmp://239.49.8.174:6000
生活时尚(HD),igmp://239.49.8.175:6000
动漫秀场(HD),igmp://239.49.8.178:6000
全纪实(HD),igmp://239.49.8.179:6000
都市剧场(HD),igmp://239.49.8.180:6000
魅力音乐(HD),igmp://239.49.8.181:6000
欢笑剧场(HD),igmp://239.49.8.182:6000
四川卫视(HD),igmp://239.49.8.184:6000
江西卫视(HD),igmp://239.49.8.185:6000
东南卫视(HD),igmp://239.49.8.186:6000
吉林卫视(HD),igmp://239.49.8.187:6000
河北卫视(HD),igmp://239.49.8.188:6000
CETV-1(HD),igmp://239.49.8.189:6000
劲爆体育(HD),igmp://239.49.8.168:6000
BesTV-1(HD),igmp://239.49.8.160:6000
BesTV-2(HD),igmp://239.49.8.161:6000
BesTV-3(HD),igmp://239.49.8.162:6000
BesTV-4(HD),igmp://239.49.8.163:6000
BesTV-5(HD),igmp://239.49.8.164:6000
BesTV-6(HD),igmp://239.49.8.165:6000
BesTV-7(HD),igmp://239.49.8.166:6000
BesTV-8(HD),igmp://239.49.8.171:6000
BesTV-9(HD),igmp://239.49.8.172:6000
江苏导视(HD),igmp://239.49.8.150:6000
游戏直播1(HD),igmp://239.49.8.151:6000
游戏直播2(HD),igmp://239.49.8.152:6000
快乐购(HD),igmp://239.49.8.153:6000
电竞世界(HD),igmp://239.49.8.169:6000
游戏风云(HD),igmp://239.49.8.176:6000
幸福彩(HD),igmp://239.49.8.177:6000
东方购物(HD),igmp://239.49.8.190:6000
江苏导视(4K),igmp://239.49.8.192:6000
