CCTV1HD,rtp://239.49.8.19:9614
CCTV2HD,rtp://239.49.8.50:9802
CCTV3HD,rtp://239.49.9.31:6000
CCTV4HD,rtp://239.49.8.51:9806
CCTV5HD,rtp://239.49.8.75:8000
CCTV5+HD,rtp://239.49.8.18:9610
CCTV6HD,rtp://239.49.9.33:6000
CCTV7,rtp://239.49.1.254:6000
CCTV8HD,rtp://239.49.9.34:6000
CCTV9HD,rtp://239.49.8.53:9814
CCTV10HD,rtp://239.49.8.54:9818
CCTV11,rtp://239.49.1.11:6000
CCTV12HD,rtp://239.49.8.55:9822
CCTV13HD,rtp://239.49.9.43:6000
CCTV14HD,rtp://239.49.8.56:9826
CCTV15,rtp://239.49.1.15:6000
CCTV16HD,rtp://239.49.9.58:6000
CCTV17HD,rtp://239.49.8.52:9810
CGTN英语,rtp://239.49.1.9:6000
CGTN俄语,rtp://239.49.9.50:6000
CETV1HD,rtp://239.49.8.115:8000
CETV2,rtp://239.49.1.55:6000
CETV4,rtp://239.49.1.56:6000
山东教育卫视,rtp://239.49.1.250:6000
书画频道,rtp://239.49.1.227:6000
梨园频道,rtp://239.49.9.21:6000
中国气象频道,rtp://239.49.1.58:6000
湖南卫视HD,rtp://239.49.8.12:9418
江苏卫视HD,rtp://239.49.8.16:9602
浙江卫视HD,rtp://239.49.8.20:9618
东方卫视HD,rtp://239.49.8.17:9606
北京卫视HD,rtp://239.49.8.11:9414
深圳卫视HD,rtp://239.49.8.15:9430
广东卫视HD,rtp://239.49.8.13:9422
安徽卫视HD,rtp://239.49.8.80:8000
河南卫视HD,rtp://239.49.8.29:8000
黑龙江卫视HD,rtp://239.49.8.14:9426
山东卫视HD,rtp://239.49.8.7:9306
天津卫视HD,rtp://239.49.8.35:8620
四川卫视HD,rtp://239.49.8.110:8000
重庆卫视HD,rtp://239.49.8.57:9830
湖北卫视HD,rtp://239.49.8.8:9632
江西卫视HD,rtp://239.49.8.111:8000
贵州卫视HD,rtp://239.49.8.49:8000
东南卫视HD,rtp://239.49.8.112:8000
云南卫视HD,rtp://239.49.0.177:8000
河北卫视HD,rtp://239.49.8.114:8000
广西卫视HD,rtp://239.49.8.209:6000
海南卫视HD,rtp://239.49.8.83:8000
吉林卫视HD,rtp://239.49.8.113:8000
辽宁卫视HD,rtp://239.49.8.48:8000
陕西卫视,rtp://239.49.1.248:6000
内蒙古卫视,rtp://239.49.1.240:6000
山西卫视,rtp://239.49.1.51:6000
青海卫视,rtp://239.49.1.53:6000
甘肃卫视,rtp://239.49.1.238:6000
广东南方卫视,rtp://239.49.1.249:6000
宁夏卫视,rtp://239.49.1.237:6000
西藏卫视,rtp://239.49.1.139:6000
新疆卫视,rtp://239.49.1.239:6000
兵器科技HD,rtp://239.49.8.88:8000
第一剧场HD,rtp://239.49.8.94:8000
风云剧场HD,rtp://239.49.8.89:8000
风云音乐HD,rtp://239.49.8.92:8000
风云足球HD,rtp://239.49.8.85:8000
高尔夫网球HD,rtp://239.49.9.7:6000
怀旧剧场HD,rtp://239.49.8.91:8000
央视台球HD,rtp://239.49.8.32:8000
女性时尚HD,rtp://239.49.8.93:8000
世界地理HD,rtp://239.49.8.87:8000
文化精品HD,rtp://239.49.1.66:6000
江苏公共新闻HD,rtp://239.49.8.120:8000
江苏城市HD,rtp://239.49.8.107:8000
江苏教育HD,rtp://239.49.8.122:8000
江苏体育休闲HD,rtp://239.49.8.117:8000
江苏影视HD,rtp://239.49.8.118:8000
江苏综艺HD,rtp://239.49.8.108:8000
优漫卡通HD,rtp://239.49.8.119:8000
江苏国际,rtp://239.49.1.23:6000
江苏学习频道,rtp://239.49.1.124:6000
靓妆频道,rtp://239.49.1.26:6000
财富天下,rtp://239.49.1.29:6000
生活时尚HD,rtp://239.49.8.175:6000
动漫秀场HD,rtp://239.49.8.178:6000
全纪实HD,rtp://239.49.8.179:6000
都市剧场HD,rtp://239.49.8.180:6000
魅力足球HD,rtp://239.49.8.181:6000
欢笑剧场4K,rtp://239.49.8.182:6000
第一财经,rtp://239.49.1.168:6000
金色频道,rtp://239.49.1.169:6000
法制天地,rtp://239.49.1.174:6000
七彩戏剧,rtp://239.49.1.175:6000
游戏风云,rtp://239.49.1.177:6000
极速汽车,rtp://239.49.1.178:6000
劲爆体育,rtp://239.49.1.180:6000
东方财经,rtp://239.49.1.182:6000
金鹰纪实HD,rtp://239.49.8.79:8000
金鹰卡通HD,rtp://239.49.8.33:8000
快乐垂钓HD,rtp://239.49.1.225:6000
先锋乒羽,rtp://239.49.1.233:6000
茶频道,rtp://239.49.1.234:6000
BesTV电影-1,rtp://239.49.1.118:6000
BesTV电影-2,rtp://239.49.1.196:6000
BesTV电影-3,rtp://239.49.1.197:6000
BesTV电视剧-1,rtp://239.49.1.122:6000
BesTV电视剧-2,rtp://239.49.1.198:6000
BesTV电视剧-3,rtp://239.49.1.201:6000
BesTV电视剧-4,rtp://239.49.1.212:6000
BesTV戏曲,rtp://239.49.1.120:6000
BesTV动漫,rtp://239.49.1.213:6000
南京新闻综合,rtp://239.49.9.3:6000
南京科教,rtp://239.49.1.27:6000
南京生活,rtp://239.49.1.28:6000
南京信息,rtp://239.49.8.223:6000
南京影视,rtp://239.49.8.228:6000
南京娱乐,rtp://239.49.8.229:6000
南京少儿,rtp://239.49.8.230:6000
十八频道,rtp://239.49.1.157:6000
苏州生活资讯,rtp://239.49.8.194:6000
常州新闻综合,rtp://239.49.1.134:6000
常州公共,rtp://239.49.1.131:6000
常州生活,rtp://239.49.1.132:6000
常州都市,rtp://239.49.1.133:6000
徐州1,rtp://239.49.1.108:6000
徐州2,rtp://239.49.1.107:6000
徐州3,rtp://239.49.1.106:6000
徐州4,rtp://239.49.1.105:6000
泰州1,rtp://239.49.9.20:6000
泰州2,rtp://239.49.1.100:6000
泰州3,rtp://239.49.1.101:6000
连云港新闻综合,rtp://239.49.1.244:6000
连云港公共,rtp://239.49.1.245:6000
宿迁综合,rtp://239.49.1.140:6000
宿迁公共,rtp://239.49.1.123:6000
淮安综合,rtp://239.49.9.46:6000
淮安公共,rtp://239.49.1.96:6000
淮安影视娱乐,rtp://239.49.1.95:6000
宿豫综合,rtp://239.49.1.98:6000
邳州综合,rtp://239.49.1.232:6000
沭阳综合,rtp://239.49.1.117:6000
泗洪综合,rtp://239.49.1.125:6000
泗阳综合,rtp://239.49.1.103:6000
睢宁综合,rtp://239.49.1.246:6000
响水综合,rtp://239.49.1.141:6000
新沂1,rtp://239.49.1.228:6000
赣榆电视台,rtp://239.49.1.247:6000
盱眙新闻,rtp://239.49.9.18:6000
沛县新闻综合,rtp://239.49.9.19:6000
东海新闻,rtp://239.49.9.48:6000
盐城1,rtp://239.49.9.51:6000
南通3,rtp://239.49.9.56:6000
洪泽综合,rtp://239.49.9.57:6000
贾汪新闻,rtp://239.49.8.193:6000
高淳新闻,rtp://239.49.1.142:6000
