
CCTV-1(HD),igmp://239.49.8.129:6000
CCTV-2(HD),igmp://239.49.8.130:6000
CCTV-3,igmp://239.49.1.3:6000
CCTV-4(HD),igmp://239.49.8.131:6000
CCTV-5(HD),igmp://239.49.8.170:6000
CCTV-6,igmp://239.49.1.6:6000
CCTV-7(HD),igmp://239.49.8.132:6000
CCTV-8,igmp://239.49.1.8:6000
CCTV-9(HD),igmp://239.49.8.133:6000
CCTV-10(HD),igmp://239.49.8.134:6000
CCTV-11,igmp://239.49.1.11:6000
CCTV-12(HD),igmp://239.49.8.135:6000
CCTV-13,igmp://239.49.1.13:6000
CCTV-14(HD),igmp://239.49.8.136:6000
CCTV-5+(HD),igmp://239.49.8.137:6000
CCTV-NEWS,igmp://239.49.1.9:6000
生活时尚(HD),igmp://239.49.8.175:6000
动漫秀场(HD),igmp://239.49.8.178:6000
全纪实(HD),igmp://239.49.8.179:6000
都市剧场(HD),igmp://239.49.8.180:6000
魅力音乐(HD),igmp://239.49.8.181:6000
欢笑剧场(HD),igmp://239.49.8.182:6000
北京纪实(HD),igmp://239.49.8.202:6000
金鹰纪实(HD),igmp://239.49.8.203:6000
上海纪实(HD),igmp://239.49.1.151:6000
江苏卫视(HD),igmp://239.49.8.138:6000
浙江卫视(HD),igmp://239.49.8.139:6000
东方卫视(HD),igmp://239.49.8.140:6000
北京卫视(HD),igmp://239.49.8.141:6000
湖南卫视(HD),igmp://239.49.8.142:6000
广东卫视(HD),igmp://239.49.8.143:6000
黑龙江卫视(HD),igmp://239.49.8.144:6000
深圳卫视(HD),igmp://239.49.8.145:6000
山东卫视(HD),igmp://239.49.8.146:6000
湖北卫视(HD),igmp://239.49.8.147:6000
天津卫视(HD),igmp://239.49.8.148:6000
重庆卫视(HD),igmp://239.49.8.149:6000
辽宁卫视(HD),igmp://239.49.8.173:6000
贵州卫视(HD),igmp://239.49.8.174:6000
四川卫视(HD),igmp://239.49.8.184:6000
江西卫视(HD),igmp://239.49.8.185:6000
东南卫视(HD),igmp://239.49.8.186:6000
吉林卫视(HD),igmp://239.49.8.187:6000
河北卫视(HD),igmp://239.49.8.188:6000
河南卫视(HD),igmp://239.49.8.197:6000
安徽卫视(HD),igmp://239.49.8.204:6000
劲爆体育(HD),igmp://239.49.8.168:6000
CETV-1(HD),igmp://239.49.8.189:6000
CETV-2,igmp://239.49.1.55:6000
CETV-4,igmp://239.49.1.56:6000
BesTV-电视剧-1,igmp://239.49.1.122:6000
BesTV-电视剧-2,igmp://239.49.1.198:6000
BesTV-电影-1,igmp://239.49.1.196:6000
BesTV-电影-2,igmp://239.49.1.197:6000
BesTV-电影-3,igmp://239.49.1.118:6000
BesTV-动漫,igmp://239.49.1.212:6000
BesTV-港剧,igmp://239.49.1.201:6000
BesTV-学习,igmp://239.49.1.121:6000
BesTV-其他,igmp://239.49.1.213:6000


