CCTV-1,igmp://239.49.1.1:6000
CCTV-2,igmp://239.49.1.2:6000
CCTV-3,igmp://239.49.1.3:6000
CCTV-4,igmp://239.49.1.4:6000
CCTV-5,igmp://239.49.1.5:6000
CCTV-6,igmp://239.49.1.6:6000
CCTV-7,igmp://239.49.1.7:6000
CCTV-8,igmp://239.49.1.8:6000
CCTV-9,igmp://239.49.1.9:6000
CCTV-10,igmp://239.49.1.10:6000
CCTV-11,igmp://239.49.1.11:6000
CCTV-12,igmp://239.49.1.12:6000
CCTV-13,igmp://239.49.1.13:6000
CCTV-14,igmp://239.49.1.14:6000
CCTV-15,igmp://239.49.1.15:6000
江苏卫视,igmp://239.49.1.16:6000
江苏城市,igmp://239.49.1.17:6000
江苏综艺,igmp://239.49.1.18:6000
江苏体育休闲,igmp://239.49.1.19:6000
江苏影视,igmp://239.49.1.20:6000
江苏十八,igmp://239.49.1.157:6000
优漫卡通,igmp://239.49.1.21:6000
江苏公共新闻,igmp://239.49.1.22:6000
江苏国际,igmp://239.49.1.23:6000
江苏教育,igmp://239.49.1.25:6000
东方卫视,igmp://239.49.1.32:6000
东方卫视,igmp://239.49.1.216:6000
东方卫视,igmp://239.49.1.217:6000
北京卫视,igmp://239.49.1.33:6000
浙江卫视,igmp://239.49.1.34:6000
辽宁卫视,igmp://239.49.1.35:6000
安徽卫视,igmp://239.49.1.36:6000
山东卫视,igmp://239.49.1.37:6000
湖南卫视,igmp://239.49.1.38:6000
广东卫视,igmp://239.49.1.39:6000
广西卫视,igmp://239.49.1.40:6000
旅游卫视,igmp://239.49.1.41:6000
重庆卫视,igmp://239.49.1.42:6000
四川卫视,igmp://239.49.1.43:6000
河南卫视,igmp://239.49.1.44:6000
东南卫视,igmp://239.49.1.45:6000
天津卫视,igmp://239.49.1.46:6000
江西卫视,igmp://239.49.1.47:6000
江西卫视,igmp://239.49.1.51:6000
湖北卫视,igmp://239.49.1.48:6000
吉林卫视,igmp://239.49.1.49:6000
黑龙江卫视,igmp://239.49.1.50:6000
贵州卫视,igmp://239.49.1.52:6000
深圳卫视,igmp://239.49.1.59:6000
青海卫视,igmp://239.49.1.53:6000
凤凰卫视,igmp://239.49.1.144:6000
凤凰资讯,igmp://239.49.1.155:6000
阳光卫视,igmp://239.49.1.156:6000
CETV-1,igmp://239.49.1.54:6000
CETV-2,igmp://239.49.1.55:6000
CETV-4,igmp://239.49.1.56:6000
嘉佳卡通,igmp://239.49.1.214:6000
上海娱乐,igmp://239.49.1.215:6000
云南卫视,igmp://239.49.1.235:6000
河北卫视,igmp://239.49.1.236:6000
宁夏卫视,igmp://239.49.1.237:6000
甘肃卫视,igmp://239.49.1.238:6000
新疆卫视,igmp://239.49.1.239:6000
内蒙古卫视,igmp://239.49.1.240:6000
辽宁卫视高清,igmp://239.49.1.242:6000
新闻综合,igmp://239.49.1.244:6000
公共频道,igmp://239.49.1.245:6000
全记录,igmp://239.49.1.162:6000
世界地理,igmp://239.49.1.63:6000
国防军事,igmp://239.49.1.64:6000
风云剧场,igmp://239.49.1.65:6000
央视文化精品,igmp://239.49.1.66:6000
央视怀旧剧场,igmp://239.49.1.67:6000
风云音乐,igmp://239.49.1.68:6000
第一财经-1,igmp://239.49.1.199:6000
第一财经-2,igmp://239.49.1.168:6000
金色频道,igmp://239.49.1.169:6000
CITY都市剧场,igmp://239.49.1.170:6000
法制天下,igmp://239.49.1.174:6000
七彩戏剧,igmp://239.49.1.175:6000
欢笑剧场,igmp://239.49.1.176:6000
女性时尚,igmp://239.49.1.69:6000
中华美食,igmp://239.49.1.70:6000
江苏导视,igmp://239.49.1.74:6000
江苏体坛风云,igmp://239.49.1.76:6000
DOGTV,igmp://239.49.1.77:6000
江苏游戏达人,igmp://239.49.1.78:6000
江苏华语片场,igmp://239.49.1.80:6000
江苏生活剧场,igmp://239.49.1.81:6000
江苏金庸武侠,igmp://239.49.1.82:6000
江苏谍战悬疑,igmp://239.49.1.83:6000
江苏超炫动慢,igmp://239.49.1.84:6000
江苏娱乐秀场,igmp://239.49.1.85:6000
江苏凤凰天下,igmp://239.49.1.87:6000
江苏寰宇纪实,igmp://239.49.1.88:6000
江苏史海钩沉,igmp://239.49.1.89:6000
江苏谈股论金,igmp://239.49.1.90:6000
江苏养生,igmp://239.49.1.91:6000
江苏时尚女人,igmp://239.49.1.92:6000
江苏铁血军事,igmp://239.49.1.93:6000
江苏举案说法,igmp://239.49.1.94:6000
淮安影视娱乐,igmp://239.49.1.95:6000
淮安公共,igmp://239.49.1.96:6000
淮安综合,igmp://239.49.1.97:6000
宿豫综合,igmp://239.49.1.98:6000
东海新闻,igmp://239.49.1.136:6000
东海文娱,igmp://239.49.1.100:6000
东海国学与家道,igmp://239.49.1.101:6000
测试信号,igmp://239.49.1.102:6000
测试信号,igmp://239.49.1.135:6000
贾汪新闻,igmp://239.49.8.193:6000
泗阳综合,igmp://239.49.1.103:6000
徐州-4,igmp://239.49.1.105:6000
徐州-3,igmp://239.49.1.106:6000
徐州-2,igmp://239.49.1.107:6000
沭阳综合,igmp://239.49.1.117:6000
宿迁综合,igmp://239.49.1.123:6000
宿迁综合,igmp://239.49.1.140:6000
江苏学习频道,igmp://239.49.1.124:6000
泗洪综合,igmp://239.49.1.125:6000
常州公共,igmp://239.49.1.131:6000
常州生活,igmp://239.49.1.132:6000
常州新闻综合,igmp://239.49.1.134:6000
无锡教育,igmp://239.49.1.141:6000
兴化纪实-1,igmp://239.49.1.149:6000
兴化纪实-2,igmp://239.49.1.150:6000
兴化纪实-3,igmp://239.49.1.151:6000
NBS新闻综合,igmp://239.49.1.158:6000
幸福彩,igmp://239.49.1.172:6000
极速汽车,igmp://239.49.1.178:6000
极速汽车,igmp://239.49.1.190:6000
劲飙体育,igmp://239.49.1.180:6000
鼎级剧场,igmp://239.49.1.183:6000
百视通,igmp://239.49.1.173:6000
百视通-1,igmp://239.49.1.184:6000
百视通-2,igmp://239.49.1.185:6000
百视通-3,igmp://239.49.1.186:6000
百视通-4,igmp://239.49.1.187:6000
百视通-5,igmp://239.49.1.188:6000
百视通-6,igmp://239.49.1.189:6000
百视通-7,igmp://239.49.1.191:6000
百视通-8,igmp://239.49.1.192:6000
百视通-9,igmp://239.49.1.195:6000
百视通-10,igmp://239.49.1.196:6000
百视通-11,igmp://239.49.1.197:6000
百视通-12,igmp://239.49.1.198:6000
百视通-13,igmp://239.49.1.201:6000
百视通-14,igmp://239.49.1.203:6000
百视通-15,igmp://239.49.1.204:6000
百视通-16,igmp://239.49.1.205:6000
百视通-17,igmp://239.49.1.207:6000
百视通-18,igmp://239.49.1.209:6000
百视通-19,igmp://239.49.1.210:6000
百视通-20,igmp://239.49.1.220:6000
百视通-21,igmp://239.49.1.221:6000
百视通-22,igmp://239.49.1.222:6000
百视通-23,igmp://239.49.1.223:6000
百视通-24,igmp://239.49.1.224:6000
百视通音乐,igmp://239.49.1.152:6000
百视通动画-1,igmp://239.49.1.212:6000
百视通动画-2,igmp://239.49.1.213:6000
