4K,igmp://239.49.8.38:8632
CCTV1,igmp://239.49.0.1:8000
CCTV2,igmp://239.49.0.2:8008
CCTV3,igmp://239.49.0.3:9566
CCTV4,igmp://239.49.0.4:8024
CCTV5,igmp://239.49.0.5:9570
CCTV6,igmp://239.49.0.6:9574
CCTV7,igmp://239.49.0.7:8048
CCTV8,igmp://239.49.0.8:9578
CCTVNEWS,igmp://239.49.0.9:8064
CCTV10,igmp://239.49.0.10:8072
CCTV11,igmp://239.49.0.11:8080
CCTV12,igmp://239.49.0.12:8088
CCTV新闻,igmp://239.49.0.13:8096
CCTV少儿,igmp://239.49.0.14:8104
CCTV音乐,igmp://239.49.0.15:8112
江苏卫视,igmp://239.49.0.16:8120
江苏城市,igmp://239.49.0.17:8128
江苏综艺,igmp://239.49.0.18:8136
江苏体育休闲,igmp://239.49.0.19:8144
江苏影视,igmp://239.49.0.20:8152
优漫卡通,igmp://239.49.0.21:8160
江苏公共新闻,igmp://239.49.0.149:9186
江苏国际,igmp://239.49.0.22:8168
好享购物,igmp://239.49.0.148:9178
江苏教育,igmp://239.49.0.23:8176
靓妆频道,igmp://239.49.0.150:9194
央广购物,igmp://239.49.0.110:9014
东方购物,igmp://239.49.0.181:8000
快乐购物,igmp://239.49.0.144:9370
央广健康,igmp://239.49.0.112:9718
财富天下,igmp://239.49.0.166:9322
学习频道,igmp://239.49.0.210:8884
东方卫视,igmp://239.49.0.48:8376
北京卫视,igmp://239.49.0.49:8384
浙江卫视,igmp://239.49.0.50:8392
辽宁卫视,igmp://239.49.0.51:8400
安徽卫视,igmp://239.49.0.52:8408
山东卫视,igmp://239.49.0.53:8416
湖南卫视,igmp://239.49.0.54:8424
广东卫视,igmp://239.49.0.55:8432
广西卫视,igmp://239.49.0.56:8440
旅游卫视,igmp://239.49.0.57:8448
重庆卫视,igmp://239.49.0.58:8456
四川卫视,igmp://239.49.0.59:8464
河南卫视,igmp://239.49.0.60:8472
东南卫视,igmp://239.49.0.61:8480
天津卫视,igmp://239.49.0.62:8488
江西卫视,igmp://239.49.0.63:8496
湖北卫视,igmp://239.49.0.64:8504
吉林卫视,igmp://239.49.0.65:8512
黑龙江卫视,igmp://239.49.0.66:8520
山西卫视,igmp://239.49.0.67:8528
贵州卫视,igmp://239.49.0.68:8536
青海卫视,igmp://239.49.0.69:8544
CETV1,igmp://239.49.0.70:8552
CETV2,igmp://239.49.0.71:8560
空中课堂,igmp://239.49.0.72:8568
深圳卫视,igmp://239.49.0.100:8788
云南卫视,igmp://239.49.0.147:8000
宁夏卫视,igmp://239.49.0.171:8000
甘肃卫视,igmp://239.49.0.172:8000
新疆卫视,igmp://239.49.0.178:8000
内蒙古卫视,igmp://239.49.0.180:8000
电视指南,igmp://239.49.0.161:9282
风云足球,igmp://239.49.0.153:9218
高尔夫网球,igmp://239.49.0.154:9226
世界地理,igmp://239.49.0.155:9234
国防军事,igmp://239.49.0.160:9274
风云剧场,igmp://239.49.0.152:9210
央视精品,igmp://239.49.0.156:9242
央视怀旧剧场,igmp://239.49.0.157:9250
风云音乐,igmp://239.49.0.151:9202
女性时尚,igmp://239.49.0.159:9266
中华美食,igmp://239.49.0.163:9298
辽宁游戏竞技,igmp://239.49.0.162:9290
快乐垂钓,igmp://239.49.0.114:8000
先锋乒羽,igmp://239.49.0.145:8000
茶频道,igmp://239.49.0.146:8000
江苏导视,igmp://239.49.0.190:9458
看新闻吧,igmp://239.49.0.191:9462
体坛风云,igmp://239.49.0.205:9518
搏击俱乐部,igmp://239.49.0.121:9972
第一剧场,igmp://239.49.0.44:8000
游戏达人,igmp://239.49.0.209:9534
书画频道,igmp://239.49.0.123:8000
火爆片场,igmp://239.49.0.192:9466
华语片场,igmp://239.49.0.193:9470
生活剧场,igmp://239.49.0.194:9474
金庸武侠,igmp://239.49.0.195:9478
谍战悬疑,igmp://239.49.0.196:9482
超炫动漫,igmp://239.49.0.200:9498
娱乐秀场,igmp://239.49.0.203:9510
随音听乐,igmp://239.49.0.204:9514
凤凰天下,igmp://239.49.0.197:9486
寰宇纪实,igmp://239.49.0.201:9502
史海钩沉,igmp://239.49.0.198:9490
谈股论金,igmp://239.49.0.206:9522
养生,igmp://239.49.0.199:9494
时尚女人,igmp://239.49.0.208:9530
铁血军事,igmp://239.49.0.202:9506
举案说法,igmp://239.49.0.207:9526
跨年多机位1,igmp://239.49.8.65:9368
跨年多机位3,igmp://239.49.8.67:9376
体彩玩法直播,igmp://239.49.0.111:8880
高频彩票,igmp://239.49.0.127:9008
体彩教育,igmp://239.49.0.128:9016


以下频道测试用：
154,igmp://239.49.8.154:6000
155,igmp://239.49.8.155:6000
156,igmp://239.49.8.156:6000
157,igmp://239.49.8.157:6000
158,igmp://239.49.8.158:6000
159,igmp://239.49.8.159:6000
167,igmp://239.49.8.167:6000
183,igmp://239.49.8.183:6000
196,igmp://239.49.8.196:6000
198,igmp://239.49.8.198:6000
199,igmp://239.49.8.199:6000
200,igmp://239.49.8.200:6000
201,igmp://239.49.8.200:6000
202,igmp://239.49.8.200:6000
203,igmp://239.49.8.200:6000
204,igmp://239.49.8.200:6000
205,igmp://239.49.8.200:6000
206,igmp://239.49.8.200:6000
207,igmp://239.49.8.200:6000
208,igmp://239.49.8.200:6000
209,igmp://239.49.8.200:6000
210,igmp://239.49.8.200:6000
211,igmp://239.49.8.200:6000
212,igmp://239.49.8.200:6000
213,igmp://239.49.8.200:6000
214,igmp://239.49.8.200:6000
215,igmp://239.49.8.200:6000
216,igmp://239.49.8.200:6000
217,igmp://239.49.8.200:6000
218,igmp://239.49.8.200:6000
219,igmp://239.49.8.200:6000
220,igmp://239.49.8.200:6000
221,igmp://239.49.8.200:6000
222,igmp://239.49.8.200:6000
223,igmp://239.49.8.200:6000
224,igmp://239.49.8.200:6000
225,igmp://239.49.8.200:6000
226,igmp://239.49.8.200:6000
227,igmp://239.49.8.200:6000
228,igmp://239.49.8.200:6000
229,igmp://239.49.8.200:6000
230,igmp://239.49.8.200:6000
231,igmp://239.49.8.200:6000
232,igmp://239.49.8.200:6000
233,igmp://239.49.8.200:6000
234,igmp://239.49.8.200:6000
235,igmp://239.49.8.200:6000
236,igmp://239.49.8.200:6000
237,igmp://239.49.8.200:6000
238,igmp://239.49.8.200:6000
239,igmp://239.49.8.200:6000
240,igmp://239.49.8.200:6000
241,igmp://239.49.8.200:6000
242,igmp://239.49.8.200:6000
243,igmp://239.49.8.200:6000
244,igmp://239.49.8.200:6000
245,igmp://239.49.8.200:6000
246,igmp://239.49.8.200:6000
247,igmp://239.49.8.200:6000
248,igmp://239.49.8.200:6000
249,igmp://239.49.8.200:6000
250,igmp://239.49.8.200:6000
251,igmp://239.49.8.200:6000
252,igmp://239.49.8.200:6000
253,igmp://239.49.8.200:6000
254,igmp://239.49.8.200:6000

