CCTV-1(HD),igmp://239.49.8.129:6000
CCTV-2(HD),igmp://239.49.8.130:6000
CCTV-4(HD),igmp://239.49.8.131:6000
CCTV-5(HD),igmp://239.49.8.170:6000
CCTV-5+(HD),igmp://239.49.8.137:6000
CCTV-7(HD),igmp://239.49.8.132:6000
CCTV-9(HD),igmp://239.49.8.133:6000
CCTV-10(HD),igmp://239.49.8.134:6000
CCTV-12(HD),igmp://239.49.8.135:6000
CCTV-14(HD),igmp://239.49.8.136:6000
金鹰纪实(HD),igmp://239.49.8.79:8000
生活时尚(HD),igmp://239.49.8.175:6000
动漫秀场(HD),igmp://239.49.8.178:6000
全纪实(HD),igmp://239.49.8.179:6000
都市剧场(HD),igmp://239.49.8.180:6000
魅力音乐(HD),igmp://239.49.8.181:6000
欢笑剧场(HD),igmp://239.49.8.182:6000
江苏卫视(HD),igmp://239.49.8.138:6000
浙江卫视(HD),igmp://239.49.8.139:6000
东方卫视(HD),igmp://239.49.8.140:6000
北京卫视(HD),igmp://239.49.8.141:6000
湖南卫视(HD),igmp://239.49.8.142:6000
广东卫视(HD),igmp://239.49.8.143:6000
黑龙江卫视(HD),igmp://239.49.8.144:6000
深圳卫视(HD),igmp://239.49.8.145:6000
山东卫视(HD),igmp://239.49.8.146:6000
湖北卫视(HD),igmp://239.49.8.147:6000
天津卫视(HD),igmp://239.49.8.148:6000
重庆卫视(HD),igmp://239.49.8.149:6000
辽宁卫视(HD),igmp://239.49.8.173:6000
贵州卫视(HD),igmp://239.49.8.174:6000
四川卫视(HD),igmp://239.49.8.184:6000
江西卫视(HD),igmp://239.49.8.185:6000
东南卫视(HD),igmp://239.49.8.186:6000
吉林卫视(HD),igmp://239.49.8.187:6000
河北卫视(HD),igmp://239.49.8.188:6000
河南卫视(HD),igmp://239.49.8.197:6000
北京东奥纪实(HD),igmp://239.49.8.78:8000
安徽卫视(HD),igmp://239.49.8.80:8000
CETV-1(HD),igmp://239.49.8.189:6000
劲爆体育(HD),igmp://239.49.8.168:6000
BesTV-1(HD),igmp://239.49.8.160:6000
BesTV-2(HD),igmp://239.49.8.161:6000
BesTV-3(HD),igmp://239.49.8.162:6000
BesTV-4(HD),igmp://239.49.8.163:6000
BesTV-5(HD),igmp://239.49.8.164:6000
BesTV-6(HD),igmp://239.49.8.165:6000
BesTV-7(HD),igmp://239.49.8.166:6000
BesTV-8(HD),igmp://239.49.8.171:6000
BesTV-9(HD),igmp://239.49.8.172:6000
江苏导视(HD-1),igmp://239.49.8.150:6000
江苏导视(HD-2),igmp://239.49.8.151:6000
江苏导视(HD-3),igmp://239.49.8.152:6000
4K测试-1(4K),igmp://239.49.8.71:8000
4K测试-2(4K),igmp://239.49.8.72:8000
4K测试-3(4K),igmp://239.49.8.191:6000
4K测试-4(4K),igmp://239.49.8.192:6000
4K测试-5(4K),igmp://239.49.8.222:6000



快乐购(HD),igmp://239.49.8.153:6000
电竞世界(HD),igmp://239.49.8.169:6000
游戏风云(HD),igmp://239.49.8.176:6000
幸福彩(HD),igmp://239.49.8.177:6000
东方购物(HD),igmp://239.49.8.190:6000
贾汪新闻,igmp://239.49.8.193:6000
生活资讯,igmp://239.49.8.194:6000
测试频道,igmp://239.49.8.195:6000

以下频道测试用：
154,igmp://239.49.8.154:6000
155,igmp://239.49.8.155:6000
156,igmp://239.49.8.156:6000
157,igmp://239.49.8.157:6000
158,igmp://239.49.8.158:6000
159,igmp://239.49.8.159:6000
167,igmp://239.49.8.167:6000
183,igmp://239.49.8.183:6000
196,igmp://239.49.8.196:6000
198,igmp://239.49.8.198:6000
199,igmp://239.49.8.199:6000
200,igmp://239.49.8.200:6000
201,igmp://239.49.8.200:6000
202,igmp://239.49.8.200:6000
203,igmp://239.49.8.200:6000
204,igmp://239.49.8.200:6000
205,igmp://239.49.8.200:6000
206,igmp://239.49.8.200:6000
207,igmp://239.49.8.200:6000
208,igmp://239.49.8.200:6000
209,igmp://239.49.8.200:6000
210,igmp://239.49.8.200:6000
211,igmp://239.49.8.200:6000
212,igmp://239.49.8.200:6000
213,igmp://239.49.8.200:6000
214,igmp://239.49.8.200:6000
215,igmp://239.49.8.200:6000
216,igmp://239.49.8.200:6000
217,igmp://239.49.8.200:6000
218,igmp://239.49.8.200:6000
219,igmp://239.49.8.200:6000
220,igmp://239.49.8.200:6000
221,igmp://239.49.8.200:6000
222,igmp://239.49.8.200:6000
223,igmp://239.49.8.200:6000
224,igmp://239.49.8.200:6000
225,igmp://239.49.8.200:6000
226,igmp://239.49.8.200:6000
227,igmp://239.49.8.200:6000
228,igmp://239.49.8.200:6000
229,igmp://239.49.8.200:6000
230,igmp://239.49.8.200:6000
231,igmp://239.49.8.200:6000
232,igmp://239.49.8.200:6000
233,igmp://239.49.8.200:6000
234,igmp://239.49.8.200:6000
235,igmp://239.49.8.200:6000
236,igmp://239.49.8.200:6000
237,igmp://239.49.8.200:6000
238,igmp://239.49.8.200:6000
239,igmp://239.49.8.200:6000
240,igmp://239.49.8.200:6000
241,igmp://239.49.8.200:6000
242,igmp://239.49.8.200:6000
243,igmp://239.49.8.200:6000
244,igmp://239.49.8.200:6000
245,igmp://239.49.8.200:6000
246,igmp://239.49.8.200:6000
247,igmp://239.49.8.200:6000
248,igmp://239.49.8.200:6000
249,igmp://239.49.8.200:6000
250,igmp://239.49.8.200:6000
251,igmp://239.49.8.200:6000
252,igmp://239.49.8.200:6000
253,igmp://239.49.8.200:6000
254,igmp://239.49.8.200:6000

